pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
1.374,1.116,catalog,0.09,396.7864383380963,4.15,726.7759102249212,0.01154,catalog,4219259568.9694138,30085206.768849753,Jackson,-0.3732313288685041,-0.7990010439604536,GP,0.13996799273887017,0.5852167575899893,2.7283097787959354e+23,2.7283097787959354e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,1422.2916150226604,0.01154,catalog,2399059668.3428864,65242707.751941465,Selsis,-0.44182089982930967,-0.6626188058458354,GP,0.053238028147651696,0.9663850171109458,8.603434533138344e+22,8.603434533138344e+22
1.374,1.116,catalog,0.09,396.7864383380963,4.15,412.20582032040204,0.01154,catalog,7034713513.780888,31496197.81383901,Jackson,-0.45463506079842025,-0.7592415995148749,linear,0.4863386660078929,0.8056741385983388,3.186651337175494e+23,3.186651337175494e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,673.0753084903947,0.01154,catalog,4515776413.776796,22691751.829480812,Jackson,-0.4820219726033947,-0.7924968144159336,linear,0.3963524770287148,0.7346547506319238,2.733497239184755e+23,2.733497239184755e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,1422.2916150226592,0.01154,catalog,2851920279.7786627,54159323.563383184,Selsis,-0.4187029172039187,-0.7802123814204859,linear,0.15612600052966583,0.6270761653616088,9.499589316989586e+22,9.499589316989586e+22
1.374,1.116,catalog,0.09,396.7864383380963,4.15,868.6720769386668,0.01154,catalog,5997944383.785276,46588367.299197465,Selsis,-0.32586811566925655,-0.6141568801477709,linear,0.051418047085704514,0.20365851764799592,3.1263186547326424e+23,3.1263186547326424e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,441.6552367613406,0.01154,catalog,6602318115.780354,78465195.73461375,Jackson,-0.31120264463837344,-0.636324305810486,GP,0.4314671430124026,0.6988650256368544,4.5078819731374545e+23,4.5078819731374545e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,1430.6887996558169,0.01154,catalog,2351952863.5468874,51575191.53999869,Jackson,-0.30134120382550167,-0.6219052877486912,GP,0.23488086958897775,0.4545161395601305,2.4722047565078823e+23,2.4722047565078823e+23
1.374,1.116,catalog,0.09,396.7864383380963,4.15,1436.4594136159358,0.01154,catalog,960157406.0881139,47236123.971696146,Selsis,-0.3692611739606856,-0.6711306608147447,linear,0.4025661277605917,0.16099139401960205,4.4958309416060984e+22,4.4958309416060984e+22
1.374,1.116,catalog,0.09,396.7864383380963,4.15,1331.1940392927731,0.01154,catalog,4346508205.835329,71880991.22021227,Selsis,-0.4282307609326407,-0.6520192839411592,log,0.09079606623013693,0.8669862196636782,1.529174260467953e+23,1.529174260467953e+23
